 Time | Bryan raw |  Bryan |  Temp  |
 138 |   78.5  | 281.46 |  36.73 |
 139 |   78.6  | 281.43 |  36.69 |
 140 |   78.6  | 281.40 |  36.64 |
 141 |   78.6  | 281.40 |  21.00 |
 142 |   78.6  | 281.40 |  36.60 |
 143 |   78.6  | 281.37 |  36.60 |
 144 |   78.7  | 281.33 |  36.58 |
 145 |   78.7  | 281.31 |  36.55 |
 146 |   78.7  | 281.30 |  36.54 |
 147 |   78.7  | 281.25 |  36.51 |
 148 |   78.8  | 281.20 |  36.49 |
 149 |   78.8  | 281.21 |  36.46 |
