 Time | Bryan raw |  Bryan |  Temp  |
   0 |   74.9  | 285.11 |  40.07 |
   1 |   75.1  | 284.91 |  40.47 |
   2 |   75.3  | 284.71 |  40.56 |
   3 |   75.5  | 284.52 |  40.58 |
   4 |   75.6  | 284.36 |  40.65 |
   5 |   75.8  | 284.22 |  21.77 |
   6 |   76.0  | 284.03 |  40.42 |
   7 |   76.1  | 283.85 |  40.27 |
   8 |   76.3  | 283.69 |  40.16 |
   9 |   76.4  | 283.58 |  40.20 |
  10 |   76.5  | 283.47 |  40.16 |
  11 |   76.7  | 283.30 |  40.15 |
  12 |   76.8  | 283.18 |  39.98 |
  13 |   77.0  | 283.02 |  40.11 |
  14 |   77.2  | 282.83 |  40.14 |
  15 |   77.2  | 282.75 |  40.14 |
  16 |   77.4  | 282.63 |  40.18 |
  17 |   77.5  | 282.53 |  40.15 |
  18 |   77.6  | 282.40 |  40.12 |
  19 |   77.7  | 282.27 |  40.12 |
  20 |   77.9  | 282.13 |  40.08 |
  21 |   78.0  | 282.00 |  40.02 |
  22 |   78.1  | 281.87 |  39.99 |
  23 |   78.2  | 281.82 |  39.96 |
  24 |   78.2  | 281.77 |  39.88 |
  25 |   78.3  | 281.66 |  39.89 |
  26 |   78.4  | 281.56 |  39.96 |
  27 |   78.6  | 281.44 |  39.90 |
  28 |   78.7  | 281.33 |  39.79 |
  29 |   78.8  | 281.20 |  39.82 |
  30 |   78.8  | 281.18 |  39.83 |
  31 |   78.9  | 281.09 |  39.72 |
  32 |   78.9  | 281.06 |  39.63 |
  33 |   79.0  | 280.99 |  39.56 |
  34 |   79.1  | 280.92 |  39.51 |
  35 |   79.1  | 280.85 |  39.45 |
  36 |   79.2  | 280.77 |  39.43 |
  37 |   79.3  | 280.65 |  39.50 |
  38 |   79.4  | 280.62 |  39.47 |
  39 |   79.4  | 280.58 |  39.32 |
  40 |   79.5  | 280.52 |  39.35 |
  41 |   79.6  | 280.41 |  39.23 |
  42 |   79.6  | 280.40 |  39.13 |
  43 |   79.7  | 280.34 |  39.05 |
  44 |   79.7  | 280.25 |  39.03 |
  45 |   79.7  | 280.26 |  39.08 |
  46 |   79.8  | 280.22 |  39.11 |
  47 |   79.9  | 280.14 |  39.00 |
  48 |   79.9  | 280.05 |  39.03 |
  49 |   80.0  | 279.99 |  38.83 |
  50 |   80.1  | 279.90 |  38.80 |
  51 |   80.2  | 279.84 |  38.82 |
  52 |   80.2  | 279.82 |  38.77 |
  53 |   80.2  | 279.79 |  38.73 |
  54 |   80.2  | 279.75 |  38.69 |
  55 |   80.4  | 279.64 |  38.58 |
  56 |   80.4  | 279.55 |  38.59 |
  57 |   80.5  | 279.46 |  38.55 |
  58 |   80.6  | 279.38 |  38.49 |
  59 |   80.6  | 279.36 |  38.34 |
  60 |   80.7  | 279.33 |  38.21 |
  61 |   80.7  | 279.30 |  38.22 |
  62 |   80.8  | 279.20 |  38.21 |
  63 |   80.9  | 279.12 |  38.18 |
  64 |   80.9  | 279.09 |  38.26 |
  65 |   81.0  | 279.03 |  38.24 |
  66 |   81.0  | 278.98 |  38.17 |
  67 |   81.1  | 278.93 |  37.99 |
  68 |   81.1  | 278.86 |  37.94 |
  69 |   81.2  | 278.80 |  37.95 |
  70 |   81.3  | 278.72 |  37.93 |
  71 |   81.3  | 278.67 |  37.95 |
  72 |   81.3  | 278.65 |  37.81 |
  73 |   81.4  | 278.64 |  37.75 |
  74 |   81.4  | 278.61 |  37.70 |
  75 |   81.4  | 278.59 |  37.66 |
  76 |   81.4  | 278.57 |  37.55 |
  77 |   81.5  | 278.51 |  37.60 |
  78 |   81.6  | 278.39 |  37.56 |
  79 |   81.6  | 278.37 |  37.51 |
  80 |   81.6  | 278.38 |  37.53 |
